port,year,month,ph,do,EC,salinity,採樣時間,潮汐,天氣
南方澳第一漁港,2026,4,,,,,,,
南方澳第一漁港,2026,5,,,,,,,
南方澳第一漁港,2026,6,,,,,,,
南方澳第一漁港,2026,7,,,,,,,
南方澳第一漁港,2026,8,,,,,,,
南方澳第一漁港,2026,9,,,,,,,
南方澳第一漁港,2026,10,,,,,,,
南方澳第一漁港,2026,11,,,,,,,
南方澳第一漁港,2026,12,,,,,,,
南方澳第二漁港,2026,1,6.24,2.22,46.3,32.95,11:41,退潮,晴
南方澳第二漁港,2026,2,6.16,2.82,40.5,28.69,15:31,漲潮,陰
南方澳第二漁港,2026,3,5.92,3.26,32.6,22.38,12:58,漲潮,雨
南方澳第二漁港,2026,4,,,,,,,
南方澳第二漁港,2026,5,,,,,,,
南方澳第二漁港,2026,6,,,,,,,
南方澳第二漁港,2026,7,,,,,,,
南方澳第二漁港,2026,8,,,,,,,
南方澳第二漁港,2026,9,,,,,,,
南方澳第二漁港,2026,10,,,,,,,
南方澳第二漁港,2026,11,,,,,,,
南方澳第二漁港,2026,12,,,,,,,
粉鳥林漁港,2026,1,7.86,5.72,51.85,36.86,14:41,漲潮,晴
粉鳥林漁港,2026,2,8.02,7.46,50.25,37.25,11:50,退潮,陰
粉鳥林漁港,2026,3,8.02,6.74,49.7,42.14,14:05,漲潮,晴
粉鳥林漁港,2026,4,,,,,,,
粉鳥林漁港,2026,5,,,,,,,
粉鳥林漁港,2026,6,,,,,,,
粉鳥林漁港,2026,7,,,,,,,
粉鳥林漁港,2026,8,,,,,,,
粉鳥林漁港,2026,9,,,,,,,
粉鳥林漁港,2026,10,,,,,,,
粉鳥林漁港,2026,11,,,,,,,
粉鳥林漁港,2026,12,,,,,,,
朝陽漁港,2026,1,7.87,5.58,45.5,32.12,16:13,漲潮,晴
朝陽漁港,2026,2,7.87,6.88,46,34.18,12:53,退潮,陰
朝陽漁港,2026,3,8.00,6.61,45.2,39.58,15:24,漲潮,晴
朝陽漁港,2026,4,,,,,,,
朝陽漁港,2026,5,,,,,,,
朝陽漁港,2026,6,,,,,,,
朝陽漁港,2026,7,,,,,,,
朝陽漁港,2026,8,,,,,,,
朝陽漁港,2026,9,,,,,,,
朝陽漁港,2026,10,,,,,,,
朝陽漁港,2026,11,,,,,,,
朝陽漁港,2026,12,,,,,,,
